name,hof_class,year_drafted,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Lawrence Roberts,0.0,2005,33,5.5,1.5,0.6,1.3,45.5,0.0,0.1,0.0,0.3,0.7,47.8,0.8,0.7,1.5,0.2,0.2,0.1,0.1,2.2
Lazar Hayward,0.0,2010,42,10.0,3.8,1.3,3.7,35.7,0.4,1.4,28.3,0.8,1.0,78.6,0.5,1.1,1.7,0.7,0.3,0.2,0.5,3.6
Leandro Barbosa,0.0,2003,70,21.4,7.9,3.0,6.7,44.7,1.2,3.0,39.5,0.7,0.9,77.0,0.3,1.4,1.8,2.4,1.3,0.1,1.7,7.8
LeBron James,0.0,2003,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,18.8
Ledell Eackles,0.0,1988,80,18.2,11.5,4.0,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1.0,2.3,1.5,0.5,0.1,1.6,8.1
Lee Mayberry,0.0,1992,82,18.3,5.2,2.1,4.6,45.6,0.5,1.3,39.1,0.5,0.8,57.4,0.3,1.1,1.4,3.3,0.7,0.1,1.0,6.9
Lee Nailon,0.0,2000,42,11.2,3.9,1.6,3.2,48.5,0.0,0.0,0.0,0.8,1.0,74.4,0.7,1.5,2.2,0.6,0.2,0.1,0.6,4.4
Leon Powe,0.0,2006,63,11.4,4.2,1.3,2.8,44.6,0.0,0.0,0.0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.2,0.3,0.8,5.4
Leon Wood,0.0,1984,38,7.1,3.2,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,0.5,1.2,0.2,0.0,0.7,2.0
Leroy Combs,0.0,1983,48,9.3,4.5,1.7,3.4,49.7,0.0,0.1,0.0,1.2,1.9,61.5,0.4,0.8,1.2,0.8,0.5,0.4,1.0,4.0
Lester Conner,0.0,1982,75,18.9,4.9,1.9,4.0,47.9,0.0,0.1,0.0,1.1,1.5,69.9,0.9,2.0,2.9,3.4,1.6,0.1,1.3,9.0
