,Player,Year,Pick
5199,Sean Tuohy,1982,218
5200,Randy Whieldon,1982,219
5201,Mike Phillips,1982,220
5202,Dale Wilkinson,1982,221
5203,Keith White,1982,222
5204,Bob Coenen,1982,223
5205,Randy Burkert,1982,224
5206,Landon Turner,1982,225
5207,Ralph Sampson,1983,1
5208,Steve Stipanovich,1983,2
5209,Rodney McCray,1983,3
5210,Byron Scott,1983,4
5211,Sidney Green,1983,5
5212,Russell Cross,1983,6
5213,Thurl Bailey,1983,7
5214,Antoine Carr,1983,8
5215,Dale Ellis,1983,9
5216,Jeff Malone,1983,10
5217,Derek Harper,1983,11
5218,Darrell Walker,1983,12
5219,Ennis Whatley,1983,13
5220,Clyde Drexler,1983,14
5221,Howard Carter,1983,15
5222,Jon Sundvold,1983,16
5223,Leo Rautins,1983,17
5224,Randy Breuer,1983,18
5225,John Paxson,1983,19
5226,Roy Hinson,1983,20
5227,Greg Kite,1983,21
5228,Randy Wittman,1983,22
5229,Mitchell Wiggins,1983,23
5230,Stewart Granger,1983,24
5231,Sidney Lowe,1983,25
5232,Leroy Combs,1983,26
5233,John Garris,1983,27
5234,Rod Foster,1983,28
5235,Larry Micheaux,1983,29
5236,Mark West,1983,30
5237,Doc Rivers,1983,31
5238,Michael Britt,1983,32
5239,Dirk Minniefield,1983,33
5240,Guy Williams,1983,34
5241,Darrell Lockhart,1983,35
5242,Scooter McCray,1983,36
5243,David Russell,1983,37
5244,Chris McNealy,1983,38
5245,Granville Waiters,1983,39
5246,Jim Thomas,1983,40
5247,Ted Kitchel,1983,41
5248,Mike Davis,1983,42
5249,Pace Mannion,1983,43
5250,Horace Owens,1983,44
5251,Paul Williams,1983,45
5252,Kevin Williams,1983,46
5253,Ken Lyons,1983,47
5254,Craig Ehlo,1983,48
5255,Greg Jones,1983,49
5256,Paul Thompson,1983,50
5257,Derek Whittenburg,1983,51
5258,Winfred King,1983,52
5259,Mike Holton,1983,53
5260,Bob Hansen,1983,54
5261,Erich Santifer,1983,55
5262,Larry Anderson,1983,56
5263,Darren Daye,1983,57
5264,John Pinone,1983,58
5265,Bruce Kuczenski,1983,59
5266,Steve Harriel,1983,60
5267,David Little,1983,61
5268,Tom Piotrowski,1983,62
5269,Frank Burnell,1983,63
5270,Claude Riley,1983,64
5271,Billy Goodwin,1983,65
5272,Les Craft,1983,66
5273,Derrick Hord,1983,67
5274,Craig Robinson,1983,68
5275,Orlando Phillips,1983,69
5276,Dan Ruland,1983,70
5277,Darrell Browder,1983,71
5278,Terry Fair,1983,72
5279,Dwight Jones,1983,73
5280,Kalpatrick Wells,1983,74
5281,Ron Crevier,1983,75
5282,Doug Arnold,1983,76
5283,Peter Thibeaux,1983,77
5284,Steve Bouchie,1983,78
5285,Johnny Martin,1983,79
5286,Dan Gay,1983,80
5287,Harry Kelley,1983,81
5288,Mark Jones,1983,82
5289,York Gross,1983,83
5290,Mike Jackson,1983,84
5291,Tim Dunham,1983,85
5292,Pete DeBisschop,1983,86
5293,Barney Mines,1983,87
5294,Mark Nickens,1983,88
5295,Sam Mosley,1983,89
5296,Brant Weidner,1983,90
5297,Carlos Clark,1983,91
5298,Terry Lewis,1983,92
5299,Craig Robinson,1983,93
5300,Chuck Barnett,1983,94
5301,Roger Stieg,1983,95
5302,Chris Logan,1983,96
5303,Manute Bol,1983,97
5304,Tim Andree,1983,98
5305,Greg Hines,1983,99
5306,Matt Clark,1983,100
5307,Ken Austin,1983,101
5308,Jim Lampley,1983,102
5309,Robin Dixon,1983,103
5310,Charles Jones,1983,104
5311,Troy Lee Mikell,1983,105
5312,Lorenza Andrews,1983,106
5313,James Braddock,1983,107
5314,Gary Monroe,1983,108
5315,Brad Watson,1983,109
5316,Tyren Naulls,1983,110
5317,Mark Petteway,1983,111
5318,Jeff Pehl,1983,112
5319,Rick Lamb,1983,113
5320,Bob Reitz,1983,114
5321,Danny Dixon,1983,115
5322,Mike Milligan,1983,116
5323,Jim Stack,1983,117
5324,Cliff Pruitt,1983,118
5325,Mel McLaughlin,1983,119
5326,Russell Todd,1983,120
5327,Ernest Patterson,1983,121
5328,Fred Gilliam,1983,122
5329,Tom Heywood,1983,123
5330,Derek Perry,1983,124
5331,Billy Allen,1983,125
5332,Donald Carroll,1983,126
5333,Tom Bethea,1983,127
5334,Tony Simms,1983,128
5335,Glenn Green,1983,129
5336,Alvis Rogers,1983,130
5337,Derrick Pope,1983,131
5338,Tony Wilson,1983,132
5339,Oscar Taylor,1983,133
5340,Charles Hurt,1983,134
5341,Edward Bona,1983,135
5342,Ricky Hooker,1983,136
5343,Paul Atkins,1983,137
5344,Mark Steele,1983,138
5345,Sedale Threatt,1983,139
5346,Brian Kellerman,1983,140
5347,Tony Brown,1983,141
5348,John Columbo,1983,142
5349,Dan Evans,1983,143
5350,Jacque Hill,1983,144
5351,Peter Williams,1983,145
5352,Joe Kazanowski,1983,146
5353,Rob Gonzalez,1983,147
5354,Terrell Schlundt,1983,148
5355,Danny Womack,1983,149
5356,Lex Drum,1983,150
5357,Desi Barimore,1983,151
5358,Dane Suttle,1983,152
5359,Maurice McDaniel,1983,153
5360,Paul Little,1983,154
5361,Tony Gattis,1983,155
5362,Keith Bennett,1983,156
5363,Anthony Hicks,1983,157
5364,Keith Williams,1983,158
5365,Fred Brown,1983,159
5366,Ron Jackson,1983,160
5367,Ricky Mixon,1983,161
5368,Tony Bruin,1983,162
5369,Jeff Bolding,1983,163
5370,Ray McCallum,1983,164
5371,Larry Tucker,1983,165
5372,Mark Gannon,1983,166
5373,Terry Bradley,1983,167
5374,Michael McCombs,1983,168
5375,Doug Harris,1983,169
5376,George Wenzel,1983,170
5377,Bill Sadler,1983,171
5378,Bernard Perry,1983,172
5379,George Thomas,1983,173
5380,Mike Lang,1983,174
5381,Cliff Tribus,1983,175
5382,Preston Neumayr,1983,176
5383,Frank Smith,1983,177
5384,Ray Smith,1983,178
5385,Joe Myers,1983,179
5386,Brett Burkholder,1983,180
5387,Mike Mulquin,1983,181
5388,Norville Brown,1983,182
5389,Trent Johnson,1983,183
5390,Gordon Austin,1983,184
5391,James Campbell,1983,185
5392,Lynn Mitchem,1983,186
5393,Joe Brown,1983,187
5394,David Maxwell,1983,188
5395,Ray Orange,1983,189
5396,Greg Goorjiam,1983,190
5397,Ron Webb,1983,191
5398,Marlow McLain,1983,192
5399,Sherrod Arnold,1983,193
5400,Ricky Moreland,1983,194
5401,Wil Kotchery,1983,195
5402,Charles Jones,1983,196
5403,Bernard Hill,1983,197
5404,Bobby Van Noy,1983,198
5405,Phil Hopson,1983,199
5406,Tony Washington,1983,200
